	A1004	Arecibo 	Arecibo Observatory
	A1655	DSIR NZ	Department of Scientific and Industrial Research, New Zealand
	A1656	Carter Obs NZ	Carter Observatory, New Zealand
	A1657	Auckland Obs	Auckland Observatory
	A1664	Austr At Ener Comm	Australian Atomic Energy Commission
	A1678	Perth Obs	Perth Observatory
	A1680	Sydney Obs Mus	Sydney Observatory Museum
	A1681	Hunters Hill Obs	Hunters Hill Observatory
	A1682	AGSO	Australian Geological Survey Organization
	A1683	Mars Soc	Mars Society
	A1684	Austr Bureau Min Res	Australian Bureau of Mineral Resources
	A1685	Austr Mus Sydney	Australian Museum Sydney
	A1690	SKA	Square Kilometre Array
	A1696	Ctr Hydro Res Cameroon	Center for Hydrologic Research, Cameroon
	A1697	Montserrat Volc Obs	Montserrat Volcano Observatory
	A1699	INETER	National Institute for Territorial Studies, Nicaragua
	A1700	Supernova	Supernova Ltd, British Virgin Islands
	A1701	SPACE	Seminario Permanente de Astronomia y Ciencias
	A1709	Rosario Plan Ast Obs	Rosario Planetarium and Astronomical Observatory
	A1716	SPACE San Pedro	San Pedro de Atacama Celestial Explorations
	A1739	Armagh Obs	Armagh Observatory
	A1750	Can Ctr Rem Sens	Canadian Center for Remote Sensing
	A1751	CERCA	Canadian Emergency Response Contractors Alliance
	A1752	SNOLAB	SNOLAB
	A1756	Scottish U Res React Ctr	Scottish Universities Research and Reactor Center
	A1786	Nagano Natl Coll Tech	Nagano National College of Technology, Japan
	A1800	Env Res Inst Mich	Environmental Research Institute of Michigan
	A1804	AS&E	American Science and Engineering
	A1810	Interferometrics	Interferometrics, Inc.
	A1811	Comp Phy Inc.	Computational Physics, Inc.
	A1812	Eureka Sci	Eureka Scientific
	A3003	FINCA	Finnish Centre for Astronomy
	A3005	Swedish Sp	Swedish Space Corporation
	A3009	EURATOM	European Atomic Energy Community
A3009	303347	KFKI	EURATOM Atomic Energy Research Institute, Hungary
	A3022	Uppsala Iono Obs 	Uppsala Ionospheric Observatory
	A3023	Icarus Res	Icarus Research Inc
	A3024	GATS	GATS Inc
	A3025	JPRS	Joint Publications Research Institute
	A3026	ASP	Astronomical Society Pacific
	A3027	MPDS	Materials Phases Data System, Villars
	A3028	GII	Geophysical Institute of Israel
	A3029	NILOP	National Institute of Lasers and Optronics, Islamabad
	A3031	Fermi Res Ctr	Enrico Fermi Research Center, Rome
	A3040	INIC	Instituto Nacional de Investigacao Cientifica, Lisbon
	A3045	ARC	Applied Research Corporation
	A3046	ADNET	ADNET Systems Incorporated
	A3047	EITI	Emergent Information Technology Incorporated
	A3052	Hyd Svs Israel	Hydrological Service, Israel
A1048	A1165	USNO Flagstaff	US Naval Observatory, Flagstaff
A1058	A1059	FL Intl U SARA Obs	Florida International University, SARA Observatory
A1146	A1147	Sp Sci Inst Cassini Imag Cen Lab Op	Space Science Institute, Cassini Imaging Central Laboratory for Operations
